example_id, text, aspect_term, term_location, class
3121_0,But the staff was so horrible to us.,staff,8--13,-1
2777_0,To be completely fair[comma] the only redeeming factor was the food[comma] which was above average[comma] but couldn't make up for all the other deficiencies of Teodora.,food,57--61,1
1634_0,The food is uniformly exceptional[comma] with a very capable kitchen which will proudly whip up whatever you feel like eating[comma] whether it's on the menu or not.,food,4--8,1
1634_1,The food is uniformly exceptional[comma] with a very capable kitchen which will proudly whip up whatever you feel like eating[comma] whether it's on the menu or not.,kitchen,55--62,1
1634_2,The food is uniformly exceptional[comma] with a very capable kitchen which will proudly whip up whatever you feel like eating[comma] whether it's on the menu or not.,menu,141--145,0
2846_0,Not only was the food outstanding[comma] but the little 'perks' were great.,food,17--21,1
2846_1,Not only was the food outstanding[comma] but the little 'perks' were great.,perks,51--56,1
1458_0,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,orrechiete with sausage and chicken,27--62,1
1458_1,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,waiters,76--83,1
1458_2,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,meats,152--157,0
1458_3,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,dish,113--117,0
3161_0,The Bagels have an outstanding taste with a terrific texture[comma] both chewy yet not gummy.,Bagels,4--10,1
2391_0,Nevertheless the food itself is pretty good.,food,17--21,1
296_0,They did not have mayonnaise[comma] forgot our toast[comma] left out ingredients (ie cheese in an omelet)[comma] below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.,toast,41--46,-1
296_1,They did not have mayonnaise[comma] forgot our toast[comma] left out ingredients (ie cheese in an omelet)[comma] below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.,mayonnaise,18--28,-1
296_2,They did not have mayonnaise[comma] forgot our toast[comma] left out ingredients (ie cheese in an omelet)[comma] below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.,bacon,126--131,-1
296_3,They did not have mayonnaise[comma] forgot our toast[comma] left out ingredients (ie cheese in an omelet)[comma] below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.,cheese,73--79,0
296_4,They did not have mayonnaise[comma] forgot our toast[comma] left out ingredients (ie cheese in an omelet)[comma] below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.,ingredients,57--68,-1
296_5,They did not have mayonnaise[comma] forgot our toast[comma] left out ingredients (ie cheese in an omelet)[comma] below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.,plate,170--175,0
296_6,They did not have mayonnaise[comma] forgot our toast[comma] left out ingredients (ie cheese in an omelet)[comma] below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.,omelet,86--92,0
1793_0,It took half an hour to get our check[comma] which was perfect since we could sit[comma] have drinks and talk!,drinks,82--88,0
1793_1,It took half an hour to get our check[comma] which was perfect since we could sit[comma] have drinks and talk!,check,32--37,0
2200_0,The design and atmosphere is just as good.,design,4--10,1
2200_1,The design and atmosphere is just as good.,atmosphere,15--25,1
3195_0,He has visited Thailand and is quite expert on the cuisine.,cuisine,51--58,1
3359_0,The pizza is the best if you like thin crusted pizza.,pizza,4--9,1
3359_1,The pizza is the best if you like thin crusted pizza.,thin crusted pizza,34--52,0
3534_0,All the money went into the interior decoration[comma] none of it went to the chefs.,interior decoration,28--47,1
3534_1,All the money went into the interior decoration[comma] none of it went to the chefs.,chefs,72--77,-1
1407_0,The seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,4--9,-1
565_0,I asked for seltzer with lime[comma] no ice.,seltzer with lime,12--29,0
675_0,Don't go alone---even two people isn't enough for the whole experience[comma] with pickles and a selection of meats and seafoods.,pickles,77--84,1
675_1,Don't go alone---even two people isn't enough for the whole experience[comma] with pickles and a selection of meats and seafoods.,selection of meats and seafoods,91--122,1
2227_0,My suggestion is to eat family style because you'll want to try the other dishes.,dishes,74--80,0
2227_1,My suggestion is to eat family style because you'll want to try the other dishes.,eat family style,20--36,1
3367_0,Best of all is the warm vibe[comma] the owner is super friendly and service is fast.,vibe,24--28,1
3367_1,Best of all is the warm vibe[comma] the owner is super friendly and service is fast.,owner,34--39,1
3367_2,Best of all is the warm vibe[comma] the owner is super friendly and service is fast.,service,62--69,1
2191_0,Faan's got a great concept but a little rough on the delivery.,delivery,53--61,-1
270_0,From the incredible food[comma] to the warm atmosphere[comma] to the friendly service[comma] this downtown neighborhood spot doesn't miss a beat.,food,20--24,1
270_1,From the incredible food[comma] to the warm atmosphere[comma] to the friendly service[comma] this downtown neighborhood spot doesn't miss a beat.,atmosphere,38--48,1
270_2,From the incredible food[comma] to the warm atmosphere[comma] to the friendly service[comma] this downtown neighborhood spot doesn't miss a beat.,service,66--73,1
638_0,Great food at REASONABLE prices[comma] makes for an evening that can't be beat!,food,6--10,1
638_1,Great food at REASONABLE prices[comma] makes for an evening that can't be beat!,prices,25--31,1
388_0,this little place has a cute interior decor and affordable city prices.,interior decor,29--43,1
388_1,this little place has a cute interior decor and affordable city prices.,prices,64--70,1
3373_0,Two words: Free wine.,wine,16--20,1
425_0,The price is reasonable although the service is poor.,price,4--9,1
425_1,The price is reasonable although the service is poor.,service,37--44,-1
3192_0,The quantity is also very good[comma] you will come out satisfied.,quantity,4--12,1
391_0,I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers[comma] we sat at the sushi bar to be closer to the action.,sushi,118--123,0
391_1,I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers[comma] we sat at the sushi bar to be closer to the action.,sushi bar,146--155,0
2384_0,The fried rice is amazing here.,fried rice,4--14,1
2962_0,Three courses - choices include excellent mussels[comma] puff pastry goat cheese and salad with a delicious dressing[comma] and a hanger steak au poivre that is out of this world.,mussels,42--49,1
2962_1,Three courses - choices include excellent mussels[comma] puff pastry goat cheese and salad with a delicious dressing[comma] and a hanger steak au poivre that is out of this world.,puff pastry goat cheese,51--74,1
2962_2,Three courses - choices include excellent mussels[comma] puff pastry goat cheese and salad with a delicious dressing[comma] and a hanger steak au poivre that is out of this world.,salad with a delicious dressing,79--110,1
2962_3,Three courses - choices include excellent mussels[comma] puff pastry goat cheese and salad with a delicious dressing[comma] and a hanger steak au poivre that is out of this world.,hanger steak au poivre,118--140,1
2962_4,Three courses - choices include excellent mussels[comma] puff pastry goat cheese and salad with a delicious dressing[comma] and a hanger steak au poivre that is out of this world.,courses,6--13,0
3404_0,it's a perfect place to have a amanzing indian food.,indian food,40--51,1
2599_0,The place is so cool and the service is prompt and curtious.,service,29--36,1
2599_1,The place is so cool and the service is prompt and curtious.,place,4--9,1
673_0,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,broth with noodles,35--53,1
648_0,I just wonder how you can have such a delicious meal for such little money.,meal,48--52,1
648_1,I just wonder how you can have such a delicious meal for such little money.,money,69--74,1
1623_0,The wine list is excellent.,wine list,4--13,1
430_0,Ive been to many Thai restaurants in Manhattan before[comma] and Toons is by far the best Thai food Ive had (except for my mom's of course).,Thai food,84--93,1
1101_0,They wouldnt even let me finish my glass of wine before offering another.,glass of wine,35--48,0
324_0,Whem asked[comma] we had to ask more detailed questions so that we knew what the specials were.,specials,75--83,0
2783_0,This is a consistently great place to dine for lunch or dinner.,lunch,47--52,0
2783_1,This is a consistently great place to dine for lunch or dinner.,dinner,56--62,0
2783_2,This is a consistently great place to dine for lunch or dinner.,dine,38--42,1
2983_0,Nice atmosphere[comma] the service was very pleasant and the desert was good.,atmosphere,5--15,1
2983_1,Nice atmosphere[comma] the service was very pleasant and the desert was good.,service,21--28,1
2983_2,Nice atmosphere[comma] the service was very pleasant and the desert was good.,desert,55--61,1
627_0,After really enjoying ourselves at the bar we sat down at a table and had dinner.,bar,39--42,1
627_1,After really enjoying ourselves at the bar we sat down at a table and had dinner.,table,60--65,0
627_2,After really enjoying ourselves at the bar we sat down at a table and had dinner.,dinner,74--80,0
3219_0,Fabulous service[comma] fantastic food[comma] and a chilled out atmosphere and environment.,service,9--16,1
3219_1,Fabulous service[comma] fantastic food[comma] and a chilled out atmosphere and environment.,food,28--32,1
3219_2,Fabulous service[comma] fantastic food[comma] and a chilled out atmosphere and environment.,atmosphere,52--62,1
3219_3,Fabulous service[comma] fantastic food[comma] and a chilled out atmosphere and environment.,environment,67--78,1
2787_0,Try the lasagnette appetizer.,lasagnette appetizer,8--28,1
604_0,I liked the beer selection!,beer selection,12--26,1
2911_0,Great food[comma] good size menu[comma] great service and an unpretensious setting.,food,6--10,1
2911_1,Great food[comma] good size menu[comma] great service and an unpretensious setting.,menu,22--26,1
2911_2,Great food[comma] good size menu[comma] great service and an unpretensious setting.,service,34--41,1
2911_3,Great food[comma] good size menu[comma] great service and an unpretensious setting.,setting,63--70,1
3074_0,Go here for a romantic dinner but not for an all out wow dining experience.,dinner,23--29,1
3074_1,Go here for a romantic dinner but not for an all out wow dining experience.,dining,57--63,1
1074_0,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,Dosa,17--21,0
912_0,Wine list selection is good and wine-by-the-glass was generously filled to the top.,Wine list selection,0--19,1
912_1,Wine list selection is good and wine-by-the-glass was generously filled to the top.,wine-by-the-glass,32--49,1
728_0,With the great variety on the menu [comma] I eat here often and never get bored .,menu,30--34,1
2925_0,The menu is very limited - i think we counted 4 or 5 entrees.,menu,4--8,-1
2925_1,The menu is very limited - i think we counted 4 or 5 entrees.,entrees,53--60,-1
3436_0,The menu is limited but almost all of the dishes are excellent.,menu,4--8,-1
3436_1,The menu is limited but almost all of the dishes are excellent.,dishes,42--48,1
3273_0,Not too crazy about their sake martini.,sake martini,26--38,-1
1215_0,Great bagels[comma] spreads and a good place to hang out in.,bagels,6--12,1
1215_1,Great bagels[comma] spreads and a good place to hang out in.,spreads,14--21,1
282_0,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,table,90--95,0
3249_0,Unfortunately[comma] the food is outstanding[comma] but everything else about this restaurant is the pits.,food,19--23,1
3207_0,We always have a delicious meal and always leave feeling satisfied.,meal,27--31,1
672_0,Dip the ingredients in with your chopsticks[comma] swirl them around[comma] and eat.,ingredients,8--19,0
672_1,Dip the ingredients in with your chopsticks[comma] swirl them around[comma] and eat.,chopsticks,33--43,0
2972_0,First went here to enjoy their garden terrace.,garden terrace,31--45,1
1755_0,The pizza was pretty good and huge.,pizza,4--9,1
2277_0,The cuisine from what I've gathered is authentic Taiwanese[comma] though its very different from what I've been accustomed to in Taipei.,cuisine,4--11,0
3680_0,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,atmosphere,50--60,1
3155_0,They are often crowded on the weekends but they are efficient and accurate with their service.,service,86--93,1
3155_1,They are often crowded on the weekends but they are efficient and accurate with their service.,crowded,15--22,-1
1688_0,All my co-workers were amazed at how small the dish was.,dish,47--51,-1
598_0,The atmosphere is unheralded[comma] the service impecible[comma] and the food magnificant.,atmosphere,4--14,1
598_1,The atmosphere is unheralded[comma] the service impecible[comma] and the food magnificant.,service,34--41,1
598_2,The atmosphere is unheralded[comma] the service impecible[comma] and the food magnificant.,food,61--65,1
2926_0,We ordered the special[comma] grilled branzino[comma] that was so infused with bone[comma] it was difficult to eat.,grilled branzino,24--40,-1
3083_0,The wait staff is friendly[comma] and the food has gotten better and better!,wait staff,4--14,1
3083_1,The wait staff is friendly[comma] and the food has gotten better and better!,food,36--40,1
2977_0,It may be a bit packed on weekends[comma] but the vibe is good and it is the best French food you will find in the area.,vibe,44--48,1
2977_1,It may be a bit packed on weekends[comma] but the vibe is good and it is the best French food you will find in the area.,French food,76--87,1
2977_2,It may be a bit packed on weekends[comma] but the vibe is good and it is the best French food you will find in the area.,packed,16--22,-1
2604_0,Right off the L in Brooklyn this is a nice cozy place with good pizza.,pizza,64--69,1
2604_1,Right off the L in Brooklyn this is a nice cozy place with good pizza.,place,48--53,1
2960_0,Le Pere Pinard has a $15 pre-theater menu that is outstanding.,pre-theater menu,25--41,1
1383_0,I also ordered for delivery and the restaurant forgot half the order.,delivery,19--27,-1
1383_1,I also ordered for delivery and the restaurant forgot half the order.,order,63--68,-1
892_0,Our server checked on us maybe twice during the entire meal.,server,4--10,-1
892_1,Our server checked on us maybe twice during the entire meal.,meal,55--59,0
2936_0,The strong scents coming from the left and right of me negatively affected my taste buds.,scents,11--17,-1
3423_0,We had the lobster sandwich and it was FANTASTIC.,lobster sandwich,11--27,1
1197_0,Had we been stalling I could understand where they were coming from[comma] but we had been there less than an hour and they hadn't even brought us a check yet!,check,143--148,-1
2274_0,Though the Spider Roll may look like a challenge to eat[comma] with soft shell crab hanging out of the roll[comma] it is well worth the price you pay for them.,price,124--129,1
2274_1,Though the Spider Roll may look like a challenge to eat[comma] with soft shell crab hanging out of the roll[comma] it is well worth the price you pay for them.,shell crab,67--77,1
2804_0,Deep Fried Skewers are good and still rare to find in NYC.,Deep Fried Skewers,0--18,1
194_0,I have tried to make reservations[comma] but both times[comma] the hostess didn't have my name.,reservations,21--33,0
194_1,I have tried to make reservations[comma] but both times[comma] the hostess didn't have my name.,hostess,55--62,-1
148_0,I also recommend the rice dishes or the different varieties of congee (rice porridge).,rice dishes,21--32,1
148_1,I also recommend the rice dishes or the different varieties of congee (rice porridge).,congee (rice porridge),63--85,1
2747_0,Their tuna tartar appetizer is to die for.,tuna tartar appetizer,6--27,1
